id,headline,summary,link,image
d1,"Defeated Activist Greta Whines Climate Strikes Have ‘Achieved Nothing,’ Claims People Are ‘Dying Today’","In December, far-left activist Greta Thunberg struck a somber, defeatist tone while speaking to fellow climate activists gathered at the United Nations climate talks in Madrid, Spain. Thunberg claimed that people are currently “suffering and dying” due to effects of supposed man-made climate change. Since 2017, Thunberg has been pushed by politicos on the far-left and their allies in the media to lead the climate change agenda, which conveniently promotes socialist policies as solutions.",https://www.dailywire.com/news/defeated-greta-whines-climate-strikes-have-achieved-nothing-claims-people-are-dying-today,https://dw-wp-production.imgix.net/2019/12/Screen-Shot-2019-12-06-at-8.28.29-PM.png?auto=format&fit=crop&ixlib=react-8.6.4&h=546&w=970&q=75&dpr=1
d2,Sadiq Khan to Blow £50m on ‘Green New Deal’ Instead of Police as London Gripped by Crime Wave,"London assembly member David Kurten grilled London mayor Sadiq Khan on his decision to plough tens of millions of pounds into a “Green New Deal” while violent crime spirals in London. Kurten said that money could have “paid for up to 800 extra police officers” to keep streets safe. In September of 2019, a 16-strong knife gang had targetted a group of young athletes in London’s Finsbury Park, robbing and threatening to kill the three white people in the group but telling the black people with them “You’re good.”",https://www.breitbart.com/europe/2020/02/25/sadiq-khan-blow-50m-green-new-deal-instead-police/,https://images.unsplash.com/photo-1495107334309-fcf20504a5ab?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=500&q=60
d3,Pete Buttigieg Falsely Claims That Climate Change Doomsday Deadline Is ‘2020’,"Claim: Pete Buttigieg said during Wednesday’s debate in Las Vegas, Nevada, that the climate change doomsday deadline is now and asserted that “we will never meet any of the other scientific or policy deadlines that we need to” if the country does not elect someone who will take action. Verdict: False. Climate change alarmists have been reconfiguring the so-called “doomsday” clock for years and have 50 years’ worth of failed predictions— predictions that faltered as the country continued to progress and reach its policy goals.",https://www.breitbart.com/politics/2020/02/20/pete-buttigieg-says-climate-change-doomsday-deadline-2020/,https://media.breitbart.com/media/2017/03/protesters-activist-march-against-climate-change-getty-640x480.jpg
d4,NASA and NOAA’S latest climate warning is a result of purposefully flawed data.,"NASA and NOAA announced that 2019 was the second warmest year since modern record keeping began in 1880. But as has been hammered home repeatedly over the years by meteorologist Anthony Watts  (who is also a Senior Fellow with The Heartland Institute), rather than cite data from their best sources, NASA and NOAA chose to use severely compromised data from temperature readings adjusted—in a process called “homogenization”—they and others gathered from biased monitoring stations. Numerous reports have shown data manipulation is not limited to the United States, but is common across the globe.",https://www.heartland.org/news-opinion/news/nasa-and-noaas-latest-climate-warning-is-a-result-of-purposefully-flawed-data,https://www.heartland.org/sebin/h/n/Climate.jpg
a1,Greta Thunberg nominated for a Nobel Peace Prize for her efforts to prevent Climate Change,"Two lawmakers in Sweden have nominated Swedish teenage climate activist Greta Thunberg for the 2020 Nobel Peace Prize. Jens Holm and Hakan Svenneling, who are both members of the Sweden’s Left Party, said Monday that Greta “has worked hard to make politicians open their eyes to the climate crisis” and “action for reducing our emissions and complying with the Paris agreement is therefore also an act of making peace.”",https://www.washingtonpost.com/lifestyle/kidspost/greta-thunberg-nominated-for-nobel-peace-prize/2020/02/03/d296c146-46a7-11ea-ab15-b5df3261b710_story.html?itid=lk_inline_manual_1,https://specials-images.forbesimg.com/imageserve/1193255203/960x0.jpg
a2,Study: global banks 'failing miserably' on climate crisis by funnelling trillions into fossil fuels,"The world’s largest investment banks have funnelled more than £2.2tn ($2.66tn) into fossil fuels since the Paris agreement, new figures show, prompting warnings they are failing to respond to the climate crisis. Analysis of the 35 leading global investment banks, by an alliance of US-based environmental groups, said that financing for the companies most aggressively expanding in new fossil fuel extraction since the Paris agreement has surged by nearly 40% in the last year.",https://www.theguardian.com/environment/2020/mar/18/global-banks-climate-crisis-finance-fossil-fuels,https://i.guim.co.uk/img/media/c95b9c44d2928658e93051bb30d4b71ad3a71c6d/67_0_3366_2022/master/3366.jpg?width=620&quality=45&auto=format&fit=max&dpr=2&s=0d1c02141e9febce06aa6f3d2ea6bc26
a3,Fact checking the false claim about the role of Arson in Australia’s Bushfires,"Claim: Various claims online suggest that climate change hasn’t contributed to the bushfires ravaging the East Coast of Australia, pinning the blame instead on arson. Verdict: False. Australian Bureau of Meteorology said that the second half of 2019 was particularly dry across most of the southern half of Australia, and followed several years of below average rainfall over parts of Queensland and New South Wales. Those hot, dry conditions allowed for one of the most severe fire seasons on Australia’s East Coast in decades. “There are fingerprints of climate change in all of these blazes that really can’t be denied,” Jennifer Marlon, a research scientist at the Yale School of Forestry & Environmental Studies said in an interview.",https://www.factcheck.org/2020/01/setting-the-record-straight-on-climate-change-and-arson-in-australias-bushfires/,https://cdn.factcheck.org/UploadedFiles/Fires3-415x355.jpg
a4,"Greenland, Antarctica Melting Six Times Faster Than in the 1990s","Observations from 11 satellite missions monitoring the Greenland and Antarctic ice sheets have revealed that the regions are losing ice six times faster than they were in the 1990s. If the current melting trend continues, the regions will be on track to match the ""worst-case"" scenario of the Intergovernmental Panel on Climate Change (IPCC) of an extra 6.7 inches (17 centimetres) of sea level rise by 2100. The findings, published in the journal Nature from an international team of 89 polar scientists from 50 organizations, are the most comprehensive assessment to date of the changing ice sheets.",https://climate.nasa.gov/news/2958/greenland-antarctica-melting-six-times-faster-than-in-the-1990s/,https://imagecache.jpl.nasa.gov/images/640x350/greenland20200316-16-640x350.jpg
p1,AOC deletes gleeful tweet on oil industry's coronavirus collapse: 'You absolutely love to see it',"Rep. Alexandria Ocasio-Cortez faced a torrent of social-media backlash on Monday after tweeting her “love” for the oil industry’s pandemic-prompted implosion. News that oil prices have spiralled into “negative values” prompted the New York Democrat to send out a gleeful tweet to her 6.7 million followers. “You absolutely love to see it,” she tweeted. The message was soon deleted and replaced. Critics noted the stark contrast in rhetoric. Some responses include: “Cheering for the collapse of an industry that supports millions of people is a perfect example of why your proposal has failed to garner meaningful support.” and “You’re literally basking in the pink slips of American workers. Disgraceful.”",https://www.washingtontimes.com/news/2020/apr/20/aoc-deletes-gleeful-tweet-on-oil-industrys-coronav/,https://twt-thumbs.washtimes.com/media/image/2020/01/26/Election_2020_Bernie_Sanders_60461.jpg-4e768_c0-379-5472-3569_s885x516.jpg?79beb960f0e00b628bd5fdbfd870ccee1dbf2e2a
p2,Covid-19 Highlights Trump’s Malignant Narcissism — And Proves Americans Will Survive Despite Him,"Major catastrophes lay bare the truth about our leaders. Trump’s criminally negligent, chaotic handling of the Covid-19 pandemic has exposed, once and for all, that he is a corrupt, narcissistic psychopath. Because of COVID-19, the nation now recognizes what should have been obvious ever since Trump took office: His first response to every crisis is to insist on complete authority, while at the same time abandoning all responsibility. Despite his inaction and incompetence, he won’t relinquish control over the government’s resources to those who know how to use them. Thus, in the total absence of national leadership or direction, governors have had to take charge, leading Trump to lash out at them.",https://theintercept.com/2020/04/22/trump-coronavirus-governors/,https://theintercept.imgix.net/wp-uploads/sites/1/2020/04/GettyImages-1210379159.jpg?auto=compress%2Cformat&q=90&w=1024&h=683
